[I 2025-03-20 21:51:29,640] A new study created in memory with name: no-name-96cee79f-6e35-45db-aae4-f778d5285f6d
[I 2025-03-20 21:51:38,727] Trial 0 finished with value: 0.8571922957897187 and parameters: {'activation_l0': 'elu', 'n_units_l0': 21, 'dropout_l0': 0.45584655311453354, 'activation_l1': 'leaky_relu', 'n_units_l1': 33, 'dropout_l1': 0.43579993608189954, 'learning_rate': 6.609810763523675e-05}. Best is trial 0 with value: 0.8571922957897187.
[I 2025-03-20 21:51:46,505] Trial 1 finished with value: 0.8393461525440216 and parameters: {'activation_l0': 'elu', 'n_units_l0': 7, 'dropout_l0': 0.43941200121162827, 'activation_l1': 'leaky_relu', 'n_units_l1': 88, 'dropout_l1': 0.2597396153440603, 'learning_rate': 2.9741702767253823e-05}. Best is trial 0 with value: 0.8571922957897187.
[I 2025-03-20 21:51:54,343] Trial 2 finished with value: 0.8607692301273346 and parameters: {'activation_l0': 'elu', 'n_units_l0': 54, 'dropout_l0': 0.31815436193335095, 'activation_l1': 'elu', 'n_units_l1': 8, 'dropout_l1': 0.26765188394014616, 'learning_rate': 8.033914097187773e-05}. Best is trial 2 with value: 0.8607692301273346.
[I 2025-03-20 21:52:04,203] Trial 3 finished with value: 0.8391538321971892 and parameters: {'activation_l0': 'leaky_relu', 'n_units_l0': 12, 'dropout_l0': 0.3357651850598896, 'activation_l1': 'elu', 'n_units_l1': 8, 'dropout_l1': 0.28309660667773656, 'learning_rate': 4.731830133251177e-05}. Best is trial 2 with value: 0.8607692301273346.
[I 2025-03-20 21:52:13,719] Trial 4 finished with value: 0.8090384423732757 and parameters: {'activation_l0': 'elu', 'n_units_l0': 8, 'dropout_l0': 0.26436846521555424, 'activation_l1': 'elu', 'n_units_l1': 5, 'dropout_l1': 0.317469010315052, 'learning_rate': 2.5167341561078938e-05}. Best is trial 2 with value: 0.8607692301273346.
[I 2025-03-20 21:52:19,986] Trial 5 finished with value: 0.8361923158168791 and parameters: {'activation_l0': 'elu', 'n_units_l0': 15, 'dropout_l0': 0.40409359802534506, 'activation_l1': 'leaky_relu', 'n_units_l1': 17, 'dropout_l1': 0.384225811144307, 'learning_rate': 6.399400179895042e-05}. Best is trial 2 with value: 0.8607692301273346.
[I 2025-03-20 21:52:28,075] Trial 6 finished with value: 0.8647307693958282 and parameters: {'activation_l0': 'elu', 'n_units_l0': 41, 'dropout_l0': 0.42123607147668474, 'activation_l1': 'leaky_relu', 'n_units_l1': 83, 'dropout_l1': 0.3543922201267755, 'learning_rate': 9.054321243121196e-05}. Best is trial 6 with value: 0.8647307693958282.
[I 2025-03-20 21:52:36,565] Trial 7 finished with value: 0.7141538262367249 and parameters: {'activation_l0': 'leaky_relu', 'n_units_l0': 8, 'dropout_l0': 0.47184198404757854, 'activation_l1': 'elu', 'n_units_l1': 6, 'dropout_l1': 0.3889466070753881, 'learning_rate': 1.1076116060508315e-05}. Best is trial 6 with value: 0.8647307693958282.
[I 2025-03-20 21:52:43,989] Trial 8 finished with value: 0.8346923172473908 and parameters: {'activation_l0': 'elu', 'n_units_l0': 10, 'dropout_l0': 0.2966665992625702, 'activation_l1': 'elu', 'n_units_l1': 82, 'dropout_l1': 0.36492648964909413, 'learning_rate': 1.280673962860204e-05}. Best is trial 6 with value: 0.8647307693958282.
[I 2025-03-20 21:52:55,105] Trial 9 finished with value: 0.8382692337036133 and parameters: {'activation_l0': 'elu', 'n_units_l0': 74, 'dropout_l0': 0.4315190931337484, 'activation_l1': 'elu', 'n_units_l1': 8, 'dropout_l1': 0.20851933944566067, 'learning_rate': 1.3302096395560954e-05}. Best is trial 6 with value: 0.8647307693958282.
[I 2025-03-20 21:53:02,593] Trial 10 finished with value: 0.8725384414196014 and parameters: {'activation_l0': 'leaky_relu', 'n_units_l0': 41, 'dropout_l0': 0.21048908749553988, 'activation_l1': 'leaky_relu', 'n_units_l1': 40, 'dropout_l1': 0.49688470116259453, 'learning_rate': 9.298511644885947e-05}. Best is trial 10 with value: 0.8725384414196014.
[I 2025-03-20 21:53:09,405] Trial 11 finished with value: 0.8775384545326232 and parameters: {'activation_l0': 'leaky_relu', 'n_units_l0': 39, 'dropout_l0': 0.20136230449286344, 'activation_l1': 'leaky_relu', 'n_units_l1': 46, 'dropout_l1': 0.49999526944831835, 'learning_rate': 9.981021491342496e-05}. Best is trial 11 with value: 0.8775384545326232.
[I 2025-03-20 21:53:16,338] Trial 12 finished with value: 0.8754999995231627 and parameters: {'activation_l0': 'leaky_relu', 'n_units_l0': 33, 'dropout_l0': 0.22839713605608997, 'activation_l1': 'leaky_relu', 'n_units_l1': 38, 'dropout_l1': 0.4942488543161084, 'learning_rate': 9.937056834919256e-05}. Best is trial 11 with value: 0.8775384545326232.
[I 2025-03-20 21:53:28,425] Trial 13 finished with value: 0.8860769271850586 and parameters: {'activation_l0': 'leaky_relu', 'n_units_l0': 123, 'dropout_l0': 0.2072211444932524, 'activation_l1': 'leaky_relu', 'n_units_l1': 37, 'dropout_l1': 0.49878516755038255, 'learning_rate': 4.5030289110728536e-05}. Best is trial 13 with value: 0.8860769271850586.
[I 2025-03-20 21:53:34,812] Trial 14 finished with value: 0.8078076839447021 and parameters: {'activation_l0': 'leaky_relu', 'n_units_l0': 110, 'dropout_l0': 0.2533360010946017, 'activation_l1': 'leaky_relu', 'n_units_l1': 21, 'dropout_l1': 0.4525044955905027, 'learning_rate': 4.5411546067127e-05}. Best is trial 13 with value: 0.8860769271850586.
[I 2025-03-20 21:53:47,028] Trial 15 finished with value: 0.8741538405418396 and parameters: {'activation_l0': 'leaky_relu', 'n_units_l0': 117, 'dropout_l0': 0.3724204742702663, 'activation_l1': 'leaky_relu', 'n_units_l1': 53, 'dropout_l1': 0.4375692509663375, 'learning_rate': 1.9506279390109714e-05}. Best is trial 13 with value: 0.8860769271850586.
[I 2025-03-20 21:53:55,260] Trial 16 finished with value: 0.8728076815605164 and parameters: {'activation_l0': 'leaky_relu', 'n_units_l0': 70, 'dropout_l0': 0.20297934314752064, 'activation_l1': 'leaky_relu', 'n_units_l1': 128, 'dropout_l1': 0.4571274353788971, 'learning_rate': 4.2572427404328046e-05}. Best is trial 13 with value: 0.8860769271850586.
[I 2025-03-20 21:54:05,424] Trial 17 finished with value: 0.8643846094608306 and parameters: {'activation_l0': 'leaky_relu', 'n_units_l0': 26, 'dropout_l0': 0.2458255311578165, 'activation_l1': 'leaky_relu', 'n_units_l1': 14, 'dropout_l1': 0.41148094397136187, 'learning_rate': 5.764380593251321e-05}. Best is trial 13 with value: 0.8860769271850586.
[I 2025-03-20 21:54:16,147] Trial 18 finished with value: 0.8757692396640777 and parameters: {'activation_l0': 'leaky_relu', 'n_units_l0': 84, 'dropout_l0': 0.27990073399602855, 'activation_l1': 'leaky_relu', 'n_units_l1': 27, 'dropout_l1': 0.47876994341184254, 'learning_rate': 3.355894551652473e-05}. Best is trial 13 with value: 0.8860769271850586.
[I 2025-03-20 21:54:18,778] Trial 19 pruned. Trial was pruned at epoch 10.
[I 2025-03-20 21:54:28,774] Trial 20 finished with value: 0.8513846218585968 and parameters: {'activation_l0': 'leaky_relu', 'n_units_l0': 20, 'dropout_l0': 0.2321578654565592, 'activation_l1': 'leaky_relu', 'n_units_l1': 53, 'dropout_l1': 0.32626018636361204, 'learning_rate': 3.6211217936275576e-05}. Best is trial 13 with value: 0.8860769271850586.
[I 2025-03-20 21:54:38,948] Trial 21 finished with value: 0.8599615514278411 and parameters: {'activation_l0': 'leaky_relu', 'n_units_l0': 83, 'dropout_l0': 0.28571855424346887, 'activation_l1': 'leaky_relu', 'n_units_l1': 27, 'dropout_l1': 0.47510353010541684, 'learning_rate': 2.8898772476496184e-05}. Best is trial 13 with value: 0.8860769271850586.
[I 2025-03-20 21:54:50,490] Trial 22 finished with value: 0.8817692518234252 and parameters: {'activation_l0': 'leaky_relu', 'n_units_l0': 127, 'dropout_l0': 0.2767993942154877, 'activation_l1': 'leaky_relu', 'n_units_l1': 25, 'dropout_l1': 0.4702638952837726, 'learning_rate': 2.203936666952681e-05}. Best is trial 13 with value: 0.8860769271850586.
[I 2025-03-20 21:55:02,071] Trial 23 finished with value: 0.8433846294879913 and parameters: {'activation_l0': 'leaky_relu', 'n_units_l0': 121, 'dropout_l0': 0.20648576711586883, 'activation_l1': 'leaky_relu', 'n_units_l1': 13, 'dropout_l1': 0.49957827513732966, 'learning_rate': 1.9294790795733992e-05}. Best is trial 13 with value: 0.8860769271850586.
[I 2025-03-20 21:55:13,666] Trial 24 finished with value: 0.8675000250339509 and parameters: {'activation_l0': 'leaky_relu', 'n_units_l0': 52, 'dropout_l0': 0.23125911443995267, 'activation_l1': 'leaky_relu', 'n_units_l1': 25, 'dropout_l1': 0.466812304012173, 'learning_rate': 1.6688610186871154e-05}. Best is trial 13 with value: 0.8860769271850586.
[I 2025-03-20 21:55:23,835] Trial 25 finished with value: 0.8850769281387327 and parameters: {'activation_l0': 'leaky_relu', 'n_units_l0': 61, 'dropout_l0': 0.30761460830729415, 'activation_l1': 'leaky_relu', 'n_units_l1': 46, 'dropout_l1': 0.4285607822125592, 'learning_rate': 2.494594194423967e-05}. Best is trial 13 with value: 0.8860769271850586.
[I 2025-03-20 21:55:35,913] Trial 26 finished with value: 0.8679615259170532 and parameters: {'activation_l0': 'leaky_relu', 'n_units_l0': 96, 'dropout_l0': 0.31288036552754306, 'activation_l1': 'leaky_relu', 'n_units_l1': 19, 'dropout_l1': 0.4211964344783597, 'learning_rate': 2.452536482077886e-05}. Best is trial 13 with value: 0.8860769271850586.
[I 2025-03-20 21:55:46,631] Trial 27 finished with value: 0.8676922857761382 and parameters: {'activation_l0': 'leaky_relu', 'n_units_l0': 59, 'dropout_l0': 0.34834184426503273, 'activation_l1': 'leaky_relu', 'n_units_l1': 31, 'dropout_l1': 0.44000101570538325, 'learning_rate': 2.387522289778602e-05}. Best is trial 13 with value: 0.8860769271850586.
[I 2025-03-20 21:55:58,286] Trial 28 finished with value: 0.877769237756729 and parameters: {'activation_l0': 'leaky_relu', 'n_units_l0': 126, 'dropout_l0': 0.2739883096194739, 'activation_l1': 'leaky_relu', 'n_units_l1': 64, 'dropout_l1': 0.39029795636258985, 'learning_rate': 3.7714450905483055e-05}. Best is trial 13 with value: 0.8860769271850586.
[I 2025-03-20 21:56:06,543] Trial 29 finished with value: 0.8686538636684418 and parameters: {'activation_l0': 'leaky_relu', 'n_units_l0': 60, 'dropout_l0': 0.3080680507390025, 'activation_l1': 'leaky_relu', 'n_units_l1': 35, 'dropout_l1': 0.4265805483031045, 'learning_rate': 4.996465442850576e-05}. Best is trial 13 with value: 0.8860769271850586.
[I 2025-03-20 21:56:13,621] Trial 30 finished with value: 0.8455000042915344 and parameters: {'activation_l0': 'leaky_relu', 'n_units_l0': 92, 'dropout_l0': 0.3315076374312204, 'activation_l1': 'leaky_relu', 'n_units_l1': 13, 'dropout_l1': 0.4488965256160569, 'learning_rate': 1.7011272355470693e-05}. Best is trial 13 with value: 0.8860769271850586.
[I 2025-03-20 21:56:19,991] Trial 31 finished with value: 0.8709230840206146 and parameters: {'activation_l0': 'leaky_relu', 'n_units_l0': 119, 'dropout_l0': 0.2713773438539063, 'activation_l1': 'leaky_relu', 'n_units_l1': 59, 'dropout_l1': 0.3923516073297451, 'learning_rate': 3.815237980618627e-05}. Best is trial 13 with value: 0.8860769271850586.
[I 2025-03-20 21:56:29,144] Trial 32 finished with value: 0.8439615309238433 and parameters: {'activation_l0': 'leaky_relu', 'n_units_l0': 124, 'dropout_l0': 0.2564573618751015, 'activation_l1': 'leaky_relu', 'n_units_l1': 71, 'dropout_l1': 0.47047033134801647, 'learning_rate': 2.8468759830288128e-05}. Best is trial 13 with value: 0.8860769271850586.
[I 2025-03-20 21:56:39,948] Trial 33 finished with value: 0.8799999952316284 and parameters: {'activation_l0': 'leaky_relu', 'n_units_l0': 95, 'dropout_l0': 0.29402830840813593, 'activation_l1': 'leaky_relu', 'n_units_l1': 102, 'dropout_l1': 0.40785415762259897, 'learning_rate': 5.561160484736481e-05}. Best is trial 13 with value: 0.8860769271850586.
[I 2025-03-20 21:56:47,776] Trial 34 finished with value: 0.851807701587677 and parameters: {'activation_l0': 'leaky_relu', 'n_units_l0': 95, 'dropout_l0': 0.29356715706929, 'activation_l1': 'leaky_relu', 'n_units_l1': 104, 'dropout_l1': 0.4783180217958021, 'learning_rate': 7.237885007121641e-05}. Best is trial 13 with value: 0.8860769271850586.
[I 2025-03-20 21:56:56,275] Trial 35 finished with value: 0.8859999895095825 and parameters: {'activation_l0': 'leaky_relu', 'n_units_l0': 70, 'dropout_l0': 0.32984261424759603, 'activation_l1': 'elu', 'n_units_l1': 45, 'dropout_l1': 0.40571271925262536, 'learning_rate': 5.2591830003769455e-05}. Best is trial 13 with value: 0.8860769271850586.
[I 2025-03-20 21:57:08,268] Trial 36 finished with value: 0.876846158504486 and parameters: {'activation_l0': 'elu', 'n_units_l0': 71, 'dropout_l0': 0.3627944509835915, 'activation_l1': 'elu', 'n_units_l1': 43, 'dropout_l1': 0.3327093255151824, 'learning_rate': 3.047177161769281e-05}. Best is trial 13 with value: 0.8860769271850586.
